Título,Endereço,Metro_m2,N_Quartos,N_Banheiros,N_Garagens,Valor_Mensal
Casa com 3 Quartos para Venda/Aluguel 398m²,"Rua Doutor Antônio de Pádua Sales, 19 - Jardim Aurélia, Campinas - SP",398,"3
              

                Quartos","2
              

                Banheiros","8
                

                  Vagas","R$ 2.500
                      /Mês


                    R$ 1.230.000"
"Sala/Conjunto com  Quarto para Aluguel, 41m²","Cambuí, Campinas - SP",41,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.701
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 105m²,"Parque Prado, Campinas - SP",105,"3
              

                Quartos","3
              

                Banheiros","3
                

                  Vagas","R$ 4.200
                      /Mês


                    R$ 885.000"
"Apartamento com 2 Quartos para Aluguel, 105m²","Cambuí, Campinas - SP",105,"2
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 5.500
                      /Mês"
"Apartamento com  Quarto para Aluguel, 40m²","Rua dos Bandeirantes, 491 - Cambuí, Campinas - SP",40,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 2.000
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 51m²,"Rua Barreto Leme, 1920 - Cambuí, Campinas - SP",51,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.200
                      /Mês


                    R$ 550.000"
Cobertura com 3 Quartos para Venda/Aluguel 374m²,"Rua dos Bandeirantes - Cambuí, Campinas - SP",374,"3
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 18.000
                      /Mês


                    R$ 5.490.000"
Casa com 2 Quartos à Venda/Aluguel 100m²,"Rua Guatemala - Jardim Nova Europa, Campinas - SP",100,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.500
                      /Mês


                    R$ 450.000"
"Ponto comercial/Loja/Box com  Quarto para Aluguel, 40m²","Jardim Nossa Senhora Auxiliadora, Campinas - SP",40,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 2.100
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 89m²","Avenida Maria Emília Alves dos Santos de Ângelis, 730 - Parque Prado, Campinas - SP",89,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.800
                      /Mês"
"Casa com 3 Quartos para Aluguel, 173m²","Rua Papa São Clemente, 32 - Conjunto Habitacional Padre Anchieta, Campinas - SP",173,"3
              

                Quartos","2
              

                Banheiros","3
                

                  Vagas","R$ 1.850
                      /Mês

Preço abaixo do mercado"
